code,address,city,state,zip,square_footage,year_opened,county_fips,county_name,description
SMD1,7200 Dorsey Run Road,Elkridge,Maryland,21075-6884,100000,2020,24027,Howard,Mini Fulfillment Center/ Amazon Fresh / Delivery Station for Baltimore/Washington DC Same Day Delivery Service within 45 minutes Drive Time.
DCA6,6001 Bethlehem Blvd Sparrow’s Point,Edgemere,Maryland,21219-2504,979200,2020,24005,Baltimore,Large Non-Sortable
DCA1,1700 Sparrows Point Blvd Sparrow’s Point,Dundalk,Maryland,21219,855000,2018,24005,Baltimore,Small Sortable
MTN6,1701 Finishing Mills Road Sparrow’s Point,Edgemere,Maryland,21219-1057,702200,2021,24005,Baltimore,Role of Facility TBD
BWI2,2010 Broening Highway,Baltimore,Maryland,21224-6027,101760,2015,24510,Baltimore,Small Sortable
MTN8,811 Wesel Boulevard Building 2,Hagerstown,Maryland,21740-8124,794900,2021,24043,Washington,Role of Facility TBD
HGR2/HBA3,1115 Wesel Boulevard Building 1,Hagerstown,Maryland,21740,1004200,2021,24043,Washington,HGR2 is a Large Nonsortable FC HBA3 is a Heavy Bulky Delivery Station inside the building.
MDT2/KRB5,600 Principio Parkway West Cecil,North East,Maryland,21901,114890,2017,24015,Cecil,MDT2 is a Specialty FC: Primarily Apparel /Footwear. KRB5 is an Amazon Kariba FC (Amazon Basics line of products).
SDC1/HDC1,6885 Commercial Dr,Springfield,Virginia,22151-4202,110000,2019,51059,Fairfax,SDC1 is a Mini Fulfillment Center/ Amazon Fresh / Delivery Station for Washington DC for 45 minute drive time. HDC1 is a Heavy/Bulky Delivery Station.
BWI4,165 Business Blvd Frederick,Clear Brook,Virginia,22624,1061000,2018,51069,Frederick,Large Non-Sortable Ships larger packages that range from electronics and sports equipment to small kitchen appliances and toys 800 associates
,5901 Richmond Henrico Turnpike,Richmond,Virginia,23227,650000,2022,51087,Henrico,5-story Small Sortable FC. Project Speedway
RIC3/HRC1,4949 Commerce Road,Richmond,Virginia,23234-2207,448300,2020,51041,Chesterfield,New Non-Sortable Fulfillment Center in Richmond HRC1 is a heavy/bulky delivery station
,4701 Commerce Road,Richmond,Virginia,23234,461700,2021,51041,Chesterfield,New Fulfillment Center / Delivery Station for Richmond VA
ORF3,2020 Northgate Commerce Parkway,Suffolk,Virginia,23435-2142,860000,2021,51800,Suffolk,New Fulfillment Center for Norfolk. 4.5 Stories High.
RIC1,5000 Commerce Way,Petersburg,Virginia,23803 6917,110000,2012,51053,Dinwiddie,Large Non-Sortable Ships larger packages that range from electronics and sports equipment to small kitchen appliances and toys 1.000 associates
RIC2,1901 Meadowville Technology Parkway,Chester,Virginia,23836-2841,120000,2012,51041,Chesterfield,"Small Sortable Ships auto parts, consumer electronics, office supplies, books, etc."
KRB2,7000 Hardware Dr,Prince George,Virginia,23875,798800,2020,51149,Prince George,KRB2 is an Amazon Kariba FC (Amazon Basics line of products).
GSO1,1656 Old Greensboro Road,Kernersville,North Carolina,27284,1006000,2020,37067,Forsyth,"Large Non-Sortable petfood, paper towels, small appliances, kayaks..."
RDU1,4851 Jones Sausage Road,Garner,North Carolina,27529-9438,640000,2020,37183,Wake,Small Sortable. Project Axis.
SNC3,5 National Way Building 3,Durham,North Carolina,27703,187500,2021,37063,Durham,Mini Fulfillment Center for Raleigh with Same Day Service Within 45 Minute Drive Time.
CLT3,6500 Davidson Hwy,Concord,North Carolina,28027-7995,100000,2018,37025,Cabarrus,Large Non-Sortable
SNC2,10622 Bryton Corporate Center Drive Buidling C,Huntersville,North Carolina,28078-0654,125900,2021,37119,Mecklenburg,Mini Fulfillment Center for Charlotte with Same Day Service Within 45 Minute Drive Time
CLT6/HCL2,12220 Carolina Logistics Drive Pineville,Charlotte,North Carolina,28134,1000000,2021,37119,Mecklenburg,Large Non-Sortable Facility. Project Big Bertha
CLT4,8000 Tuckaseegee Road,Charlotte,North Carolina,28214,855000,2019,37119,Mecklenburg,Small Sortable Project Quattro May also contain Amazon Fresh.
,Near All American Freeway & Santa Fe Drive,Fayetteville,North Carolina,28303,100000,2022,37051,Cumberland,Large Non-Sortable Facility. Project Big Bronco. Not confirmed yet.
CAE3,222 Old Wire Rd,West Columbia,South Carolina,29172-2862,120000,2017,45063,Lexington,Printing Make on Demand (MOD): Books. CDs. DVDs. Replaces the N. Charleston Facility CHS1 which was closed in Feb 2017. Project Oliver.
CAE1,4400 12th Street Extension,West Columbia,South Carolina,29172-3300,1250000,2011,45063,Lexington,Small Sortable
GSP1,402 John Dodd Rd,Spartanburg,South Carolina,29303-6312,1016100,2012,45083,Spartanburg,Large Non-Sortable
XUSU,845 Paragon Way,Rock Hill,South Carolina,29730,507500,2018,45091,York,Large Non-Sortable. 3PL facility.
SGA1,4925 Avalon Ridge Parkway,Norcross,Georgia,30017-1571,138100,2021,13135,Gwinnett,Mini Fulfillment Center/ Amazon Fresh / Delivery Station for NE Atlanta Same Day Delivery Service within 45 minutes Drive Time
ATL2,2255 W Park Place Blvd,Stone Mountain,Georgia,30087,650000,2020,13089,DeKalb,Small Sortable - Project Rocket. 4-Story Building.
ATL8/HAT9,2201 Thornton Road,Lithia Springs,Georgia,30122-3895,733200,2015,13097,Douglas,ATL8 is a Specialty Fulfillment Center HAT9 is a co located Heavy/Bulky Delivery Station
SGA2,1707 Blairs Bridge Rd,Lithia Springs,Georgia,30122-3120,166700,2021,13097,Douglas,Mini Fulfillment Center/ Amazon Fresh / Delivery Station for Atlanta. Same Day Delivery Service within 45 minutes Drive Time.
,"5705 Campbellton-Fairburn Road Building A, Union City",Atlanta,Georgia,30213,1007400,2021,13121,Fulton,Role of Facility TBD DAT9 is a Delivery Station on the same campus.
CSG1,280 Bridgeport Boulevard Moreland,Newnan,Georgia,30259-2867,1002200,2020,13077,Coweta,Large Non-Sortable
MGE9,6400 Buffington Road Union City,Atlanta,Georgia,30291,NA,2021,13121,Fulton,Role of Facility TBD
,7055 Campbellton Road,Atlanta,Georgia,30331,1128400,2020,13121,Fulton,Role of Facility TBD DAT6 is a Delivery Station included in the building
,"Majestic Airport Center IV Buiding A, South Fulton Rd, Union City",Atlanta,Georgia,30349,600000,2021,13121,Fulton,Disaster Relief Facility
HGA6,"5115 Stonewall Tell Rd Building 1, Union City",Atlanta,Georgia,30349,1150000,2021,13121,Fulton,Large Non-Sortable FC Role of Facility to be confirmed.
MGE1/MGE7,650 Broadway Ave,Braselton,Georgia,30517-3002,613000,2016,13157,Jackson,"Large Sortable : Household decor items, sporting equipment and gardening tools"
,5000 Lanier Islands Parkway Building 1,Buford,Georgia,30518,815600,2020,13135,Gwinnett,"Building 1 is a FC is for Sports equipment, patio furniture, fishing rods, pet food, kayaks, bicycles and larger household goods. Building 2 (DGE9) is a Delivery Station"
MGE3,808 Hog Mountain Road Building F,Jefferson,Georgia,30549,822300,2017,13157,Jackson,Large Sortable/Non-Sortable
AGS2/PGA1,429 Toy Wright Road Pendergrass,Jefferson,Georgia,30567,1053400,2020,13157,Jackson,AGS2 is Non-Sortable. PGA1 is a Seasonal Supplemental FC
AGS1,2150 Discovery Drive,Appling,Georgia,30802-0078,450000,2021,13073,Columbia,"Small Sortable - Books. Toys, and Small Household Goods 5-story building"
SAV3,7001 Skipper Road,Macon,Georgia,31216-6427,1016000,2019,13021,Bibb,Large Non-Sortable
,Bellevue Ave and S Williamson Blvd,Daytona Beach,Florida,32114,600000,2024,12127,Volusia,Small Sortable. Project Tarpon.
JAX2,12900 Pecan Park Road,Jacksonville,Florida,32218-2432,875600,2017,12031,Duval,Small Sortable
JAX7,"10501 Cold Storage Road Unit 500, Building E, Imeson Park, Duval",Jacksonville,Florida,32218,1011900,2021,12031,Duval,"Specialty Soft Lines Fulfillment Center (apparel, shoes, luggage, jewelry and private label)"
JAX3,13333 103rd St,Jacksonville,Florida,32221-8686,101600,2017,12031,Duval,Large Non-Sortable
,6720 Mahan Drive,Tallahassee,Florida,32308,630000,2022,12073,Leon,Small Sortable 4-story Building Project Mango
MCO2,2600 N Normandy Blvd,Deltona,Florida,32725-2610,1000000,2020,12127,Volusia,Large Non-Sortable Project Normandy
SFL1/DMO1/UFL4,7469 Kingspointe Pkwy,Orlando,Florida,32819-8587,224200,2016,12095,Orange,SFL1 is a Mini Fulfillment Center / UFL4 is a Prime Warehouse. Same Day Service Within 45 Minute Drive Time.
XUSF,901 W Landstreet Rd Suite C,Orlando,Florida,32824-8028,180000,2014,12095,Orange,Large Non-Sortable Run by 3PL NFI
MCO3,8825 Boggy Creek Road,Orlando,Florida,32824,339000,2021,12095,Orange,Specialty - Role of Facility TBD
MCO1,12340 Boggy Creek Rd Lake Nona,Orlando,Florida,32824-6902,855000,2018,12095,Orange,Small Sortable
,13200 Southwest 272nd Street Homestead,Miami,Florida,33032,110000,2021,12086,Miami-Dade,Large Non-Sortable
MIA1,14000 NW 37th Ave,Opa-Locka,Florida,33054,855000,2019,12086,Miami-Dade,Small Sortable
PMI2,8725 NW 13th Terrace Doral,Miami,Florida,33172,100000,2020,12086,Miami-Dade,Amazon Pharmacy #003 - PillPack Miami Distribution Center
SFL3,6901 N Hiatus Rd Building 2,Tamarac,Florida,33321-6433,178200,2021,12011,Broward,SFL3 is a Mini Fulfillment Center with Same Day Seivice Within 45 Minute Drive Time.
,West side of Hiatus Road Between NW 44th Street and NW 44th Street,Sunrise,Florida,33351,824000,2022,12011,Broward,Role of Facility TBD.
PBI2/HPB2,14490 Corporate Rd North,Jupiter,Florida,33478,1000000,2021,12099,Palm Beach,Large Non-Sortable. HPB2 is a delivery station co-located in the FC.
TPA1,3350 Laurel Ridge Ave,Ruskin,Florida,33570-5526,1017600,2014,12057,Hillsborough,Small Sortable 3.500 full time people Investment §200 Million. Facility expanded (doubled) in 2015 - 2016
SFL4,6337 County Road 579,Seffner,Florida,33584,151500,2021,12057,Hillsborough,SFL4 is a Mini Fulfillment Center with Same Day Seivice Within 45 Minute Drive Time.
SFL2,7004 E Broadway Ave,Tampa,Florida,33619-1831,293000,2021,12057,Hillsborough,SFL2 is a Mini Fulfillment Center with Same Day Service for Tampa Within 45 Minute Drive Time
TPA4,8706 Harney Road,Temple Terrace,Florida,33637-6716,465000,2021,12057,Hillsborough,Small Sortable - 4-Story Building.
PFL2,8060 State Road 33 N,Lakeland,Florida,33809-1704,440000,2020,12105,Polk,Amazon uses a portion of this space as a seasonal facility
TPA2/LAL1,1760 County Line Rd,Lakeland,Florida,33811-1808,1000000,2014,12105,Polk,Large Sortable/Non-Sortable Ships items such as televisions 800 full time people Investment §102 Million.
TPA3,576 C Fred Jones Blvd,Auburndale,Florida,33823,1078000,2020,12105,Polk,Large Non-Sortable.
MCO4,2314 Waverly Barn Rd Suite 150,Davenport,Florida,33897-8601,406200,2021,12105,Polk,Specialty - Role of Facility TBD
PFL1,1001 13th Avenue East,Bradenton,Florida,34208-2656,NA,2020,12081,Manatee,Amazon uses a portion of the Tropicana space as a seasonal facility
,East of I95/South of Midway Rd Midway Business Park,Port St Lucie,Florida,34986,1100000,2022,12111,St. Lucie,Large Non-Sortable. 500 associates.
,SW Kanner Highway 76 & SW 96th Street,Stuart,Florida,34997,1000000,2022,12085,Martin,Role of Facility TBD Project not confirmed
BHM1,975 Powder Plant Road,Bessemer,Alabama,35022-5497,855000,2020,1073,Jefferson,Project Bluebird. Small Sortable.
,Gunters Way & Fanning Drive,Huntsville,Alabama,35671,1000000,2022,1083,Limestone,Large Non-Sortable FC. Project Laser.
HSV1,7816 Greenbrier Rd,Huntsville,Alabama,35756,1000000,2021,1083,Limestone,Large Non-Sortable FC.
RAD1,3818 Logistics Way,Antioch,Tennessee,37013-4189,517500,2020,47037,Davidson,
,2800 International Blvd,Clarksville,Tennessee,37043,110000,2022,47125,Montgomery,Non-Sortable Fulfillment Center for Clarksville TN. Project Alice.
BNA2,500 Duke Dr,Lebanon,Tennessee,37090-8123,1200000,2013,47189,Wilson,Large Non-Sortable
MQY1,6060 Golden Bear Gateway,Mount Juliet,Tennessee,37122-1413,640000,2021,47189,Wilson,Project Sam. 5-story Automated Small Sortable FC.
BNA3,2020 Joe B Jackson Pkwy,Murfreesboro,Tennessee,37127-7792,100000,2012,47149,Rutherford,Specialty
STN1/HBN1/VTN1,10 Dell Parkway,Nashville,Tennessee,37217-2830,100000,2020,47037,Davidson,STN1 is a Mini Fulfillment Center / Amazon Fresh / Delivery Station for Same Day Delivery to Nashville within 45 minute drive time. HBN1 is a Heavy/Bulky Delivery Station
CHA2,225 Infinity Dr NW,Charleston,Tennessee,37310-1400,1016100,2011,47011,Bradley,"Large Non-Sortable (e g coffee makers, lawn tractors, barbecue grills, and water heaters along with bulk items)"
CHAI,7200 Discovery Drive,Chattanooga,Tennessee,37416-1749,1020000,2011,47065,Hamilton,CHAI is Specialty Soft Lines
,4101 S Singleton Station Rd Rockford,Alcoa,Tennessee,37853,634800,2022,47009,Blount,Project Pearl. Small Sortable fulfillment center.
MEM4,4055 New Allen Road Raleigh,North Memphis,Tennessee,38128-2718,855000,2020,47157,Shelby,Project Iris. 5-story Small Sortable FC.
MEM2,191 Norfolk Southern Way,Byhalia,Mississippi,38611-2306,554000,2019,28093,Marshall,Specialty FC for Hazardous Goods
,850 Gateway Global Drive,Byhalia,Mississippi,38611,100000,2021,28093,Marshall,Large Non-Sortable Facility.
MEM3/PIL1,1615 Commerce Parkway N Building D,Horn Lake,Mississippi,38637-2313,860900,2020,28033,DeSoto,MEM3 is a large non-sortable PILI is a Seasonal Overflow Facility.
MEM6,11505 Progress Way,Olive Branch,Mississippi,38654,1000000,2020,28033,DeSoto,Large Non-Sortable
JAN1,219 Madison County Parkway Canton,Madison,Mississippi,39046,700000,2022,28089,Madison,Land Acquired Small Sortable
LUK7,649 Omega Prkwy,Shepherdsville,Kentucky,40165-8501,611000,2020,21029,Bullitt,Role of Facility TBD.
SDF4,376 Amazoncom Blvd,Shepherdsville,Kentucky,40165-8556,823000,2006,21029,Bullitt,Specialty FC: Apparel /Footwear support Zappos.com
SDF6,271 Omega Pkwy,Shepherdsville,Kentucky,40165-8505,118000,2012,21029,Bullitt,Specialty FC Apparel /Footwear support Zappos com
SDF9,100 W Thomas P Echols Lane St 3,Shepherdsville,Kentucky,40165-7594,600000,2013,21029,Bullitt,Returns Center Apparel/Footwear
SDF2,4360 Robards Lane,Louisville,Kentucky,40218-4512,125000,2005,21111,Jefferson,"Specialty FC: High Value watches, and jewelry"
LEX1/LEX3,1850 Mercer Drive,Lexington,Kentucky,40511-1013,650000,2000,21067,Fayette,LEX1: Returns. LEX3: Printing Make on Demand (MOD) Also used for Dry Grocery distribution.
LEX2,172 Trade St,Lexington,Kentucky,40511-2607,380000,2006,21067,Fayette,Warehouse Deals and Returns Center
IVSA,4620 Olympic Blvd,Erlanger,Kentucky,41018,109200,2015,21117,Kenton,Specialty Small and Light Products
LEX5,4600 Olympic Blvd,Erlanger,Kentucky,41018,134000,2020,21117,Kenton,Role of Facility TBD
CVG2,1600 Worldwide Blvd,Hebron,Kentucky,41048-8640,543000,2005,21015,Boone,Returns Center
IVSB/HCN1,3521 Point Pleasant Road Unit 2,Hebron,Kentucky,41048,264000,2017,21015,Boone,IVSB is Specialty Small and Light Products HCN1 is a Heavy/Bulky delivery station
CVG1,"1155 Worldwide Blvd Bldg, F Park W Inti",Hebron,Kentucky,41048-8640,484000,2005,21015,Boone,Specialty Fulfillment Center Apparel for Endless.com. Myhabit and Amazon Apparel
SDF1,1050 South Columbia Avenue,Campbellsville,Kentucky,42718-2454,770000,1999,21217,Taylor,Specialty Soft Lines. Expanded from 570.000 Sq. Ft. in 1999
,Beech Road S of State 161 Interchange,New Albany,Ohio,43054,700000,2022,39049,Franklin,Small Sortable 4-story Building. Not yet confirmed.
CMH1,11903 National Rd SW,Etna,Ohio,43062-7793,855000,2016,39089,Licking,Small Sortable: Specialty Small and Light 2500 associates. 5.000 Robots
,8591 Mink St SW,Pataskala,Ohio,43062,123210,2021,39089,Licking,Large Non-Sortable. Includes DCM5 Delivery Station.
CMH2,6050 Gateway Court,Groveport,Ohio,43125-9016,1000000,2016,39049,Franklin,Large Non-Sortable 1.000 associates
CMH6/HCM1,3538 TradePort Court Building 2,Lockbourne,Ohio,43137-9670,514500,2019,39049,Franklin,CMH6 is a Large Non-Sortable FC: HCM1 is a Heavy/Bulky Delivery Station
POH2,2155 Rohr Road Franklin,Lockbourne,Ohio,43137-7566,NA,2020,39049,Franklin,Amazon uses a portion of this space as a seasonal facility
CMH4,1550 W Main St,West Jefferson,Ohio,43162-9747,855000,2020,39097,Madison,"Fulfillment center for smaller items: electronics, books and toys"
POH1,3880 Groveport Road,Obetz,Ohio,43207,NA,2018,39049,Franklin,Amazon uses a portion of this space as a seasonal facility
PCW1,27400 Crossroads Parkway,Rossford,Ohio,43551,700300,2020,39173,Wood,Project Freddie. 1000 associates.
CLE1,21500 Emery Road,North Randall,Ohio,44128-4546,855000,2018,39035,Cuyahoga,Small Sortable
SOH1,6895 Engle Rd,Middleburg Heights,Ohio,44130,150000,2021,39035,Cuyahoga,Mini Fulfillment Center / Amazon Fresh / Delivery Station for Cleveland with Same Day Delivery Service within 45 Minutes Drive Time.
CLE2,1155 Babbitt Road,Euclid,Ohio,44132-2703,650000,2019,39035,Cuyahoga,Small Sortable
AKC1,2450 Romig Road,Akron,Ohio,44320-3827,640000,2020,39153,Summit,Project Carney 4-story building
,3550 Columbus Road,Canton,Ohio,44705,1000000,2022,39151,Stark,Large Non-Sortable
CMH3,700 Gateway Blvd,Monroe,Ohio,45050-1848,994000,2019,39017,Butler,Large Non-Sortable
SOH2,1120 Strategic Parkway Building 2,Springdale,Ohio,45246,207300,2021,39061,Hamilton,Mini Fulfillment Center / Amazon Fresh / Delivery Station for Cincinnati with Same Day Delivery Service within 45 Minutes Drive Time
DAY1,Dog Leg Road & Old Springfield Road Union,Dayton,Ohio,45377,630000,2022,39113,Montgomery,Small Sortable 4-story Building.
LUK2,1835 Union Airpark Boulevard Montgomery,Union,Ohio,45377,116850,2022,39113,Montgomery,Large Non-Sortable for Dayton
IND1,4255 Anson Blvd,Whitestown,Indiana,46075-4412,110000,2008,18011,Boone,"Large & Small Sortable Expanded by 400,000 Sq. Ft. in February. 2011. 2,500 associates."
XUSE,5490 Industrial Court Suite 300,Whitestown,Indiana,46075,624000,2013,18011,Boone,Large Non-Sortable
SIN9,305 Chaney Ave,Greenwood,Indiana,46143-0116,193300,2021,18081,Johnson,Mini Fulfillment Center / Amazon Fresh / Delivery Station for Indianapolis. Same Day Service Within 45 Minute Drive Time.
IND2/IND3,715 & 717 Airtech Parkway,Plainfield,Indiana,46168-7442,947300,2008,18063,Hendricks,IND2 is Large Non-Sortable IND3 is BlSS/Small Parts
IND5,800 Perry Road,Plainfield,Indiana,46168-7637,925800,2011,18063,Hendricks,Large Non-Sortable Specialty Facility for HazMat merchandise
MQJ2/HIN2,19 Bob Glidden Blvd,Whiteland,Indiana,46184-9108,530000,2020,18081,Johnson,Large Non-Sortable HIN2 is a heavy/bulky delivery station
PIN2,"3620 Plainfield Rd Building 4, Hendricks",Indianapolis,Indiana,46231,253800,2021,18063,Hendricks,Amazon uses a portion of this space as a seasonal facility
IND4/IND8/UIN1,710 South Girls School Road,Indianapolis,Indiana,46231-1132,902900,2011,18063,Hendricks,IND4 is a Small Sortable mainly for shoes and VNA Soft Lines Fulfillment Center IND8 is a Returns Center
IND7,9101 Orly Drive,Indianapolis,Indiana,46241-9605,695300,2016,18097,Marion,"Supplemental Fulfillment Center set up inside of an existing Pepsi building near the IND airport. IND7 stows sortable case transshipped from IXD (cross dock) facilities, and then ships trans-out to nearby FC’s (INDI, MKE1. LEX1)."
