"code","address","city","state","zip","square_footage","year_opened","county_fips","county_name","description","placenames","oc_formatted","oc_lat","oc_lng"
"TEB4","738 Courses Landing Point","","New Jersey","8069",1250000,2021,34033,"Salem","Large Non-Sortable Facility","738 Courses Landing Point, , New Jersey, 8069","Courses Landing Road, Courses Landing, Carneys Point Township, NJ 08098, United States of America",39.6706031,-75.4237588
"IVSD","800 Arlington Blvd","Swedesboro","New Jersey","08085-2594",470100,2018,34015,"Gloucester","Specialty Small and Light Products","800 Arlington Blvd, Swedesboro, New Jersey, 08085-2594","Arlington Blvd, Swedesboro, NJ, United States of America",39.769962,-75.337769
"TEB3","2651 Oldmans Creek Rd Swedesboro","Logan Township","New Jersey","8085",118120,2017,34015,"Gloucester","Large Non-Sortable","2651 Oldmans Creek Rd Swedesboro, Logan Township, New Jersey, 8085","Logan Township, New Jersey, United States of America",39.79232,-75.35593
"TEB6","22 Hightstown-Cranbury Station Road","Cranbury","New Jersey","8512",992000,2017,34023,"Middlesex","Large Non-Sortable","22 Hightstown-Cranbury Station Road, Cranbury, New Jersey, 8512","Hightstown-Cranbury Station Road, Cranbury Station, Cranbury Township, NJ 18520, United States of America",40.2939536,-74.4994706
"TTN2/HEW4","343 Half Acre Rd","Cranbury","New Jersey","08512-3253",953600,2021,34023,"Middlesex","TTN2 is a Large Non-Sortable Facility. HEW4 is a co-located Heavy/Bulky Delivery Station","343 Half Acre Rd, Cranbury, New Jersey, 08512-3253","343 Half Acre Road, Cranbury, Cranbury Township, NJ 08512, United States of America",40.3156525,-74.503112
"EWR1/EWR4","50 New Canton Way","Robbinsville","New Jersey","08691-2350",1039500,2014,34021,"Mercer","Small Sortable 3500 associates","50 New Canton Way, Robbinsville, New Jersey, 08691-2350","Amazon Fulfillment Center EWR4, 50 New Canton Way, Robbinsville Township, NJ 08691, United States of America",40.1956131,-74.5652478
"LGA9","2170 Lincoln Highway (NJ-27)","Edison","New Jersey","08817-3332",923000,2017,34023,"Middlesex","Small Sortable","2170 Lincoln Highway (NJ-27), Edison, New Jersey, 08817-3332","Amazon Fulfillment Center LGA9, 2170 Lincoln Highway, Edison, NJ 08817, United States of America",40.5278596,-74.3810286
"XUSQ","152 Route 206","Hillsborough","New Jersey","8844",510500,2018,34035,"Somerset","Large Non-Sortable 3PL facility.","152 Route 206, Hillsborough, New Jersey, 8844","Hillsborough, New Jersey, United States of America",40.4776,-74.62682
"JFK8","546 Gulf Ave","Staten Island","New York","10314",855000,2018,36085,"Richmond","JFK8 is a Small Sortable FC.","546 Gulf Ave, Staten Island, New York, 10314","546 Gulf Avenue, New York, NY 10314, United States of America",40.6194321,-74.1780195
"PNY2","34 35th Street Suite 4BSW","Brooklyn","New York","11232",900000,2020,36047,"Kings","Amazon Pharmacy #004 - PillPack New York City Distribution Center","34 35th Street Suite 4BSW, Brooklyn, New York, 11232","34 35th Street, New York, NY 11232, United States of America",40.6572167,-74.0079356
"ALB1","1835 US Route 9","Castleton","New York","12033",101570,2020,36083,"Rensselaer","Large Non-Sortable.","1835 US Route 9, Castleton, New York, 12033","US Hwy 9, Castleton on Hudson, NY, United States of America",42.549219,-73.671799
"SWF1","635 International Blvd Rock Tavern","Montgomery","New York","12575-5150",101090,2021,36071,"Orange","Large Non-Sortable Facility. Project Sailfish","635 International Blvd Rock Tavern, Montgomery, New York, 12575-5150","635 International Boulevard, Montgomery, Orange County, NY 12575, United States of America",41.5188891,-74.1323013
"SYR1","7211 Morgan Road Liverpool","Clay","New York","13090-4534",820000,2022,36067,"Onondaga","Small Sortable. 4-levels totaling 3.8M sq ft","7211 Morgan Road Liverpool, Clay, New York, 13090-4534","7211 Morgan Road, Village of Liverpool, Clay, NY 13090, United States of America",43.1200766,-76.2056069
"","2600 Manitou Road Gates","Rochester","New York","14624",640000,2022,36055,"Monroe","Small Sortable for Rochester NY Not yet Confirmed","2600 Manitou Road Gates, Rochester, New York, 14624","2600 Manitou Road, City of Rochester, NY 14624, United States of America",43.1531114,-77.7476471
"PIT2","1200 Westport Road Findlay Township","Imperial","Pennsylvania","15126-2402",1000000,2020,42003,"Allegheny","Large Non-Sortable.","1200 Westport Road Findlay Township, Imperial, Pennsylvania, 15126-2402","1200 Westport Rd, Imperial, PA, United States of America",40.44811,-80.307084
"","1310 Beulah Rd Churchill","Pittsburgh","Pennsylvania","15235",634800,2022,42003,"Allegheny","Small Sortable 4 5 story building","1310 Beulah Rd Churchill, Pittsburgh, Pennsylvania, 15235","1310 Beulah Rd, Pittsburgh, PA, United States of America",40.441204,-79.845406
"XUSC","40 Logistics Drive","Carlisle","Pennsylvania","17013-7901",421200,2013,42041,"Cumberland","Large Non-Sortable (e g. fishing rods, canoes, etc.)","40 Logistics Drive, Carlisle, Pennsylvania, 17013-7901","40 Logistics Drive, Carlisle, PA 17013, United States of America",40.1889245,-77.2259457
"PHL4","21 Roadway Drive","Carlisle","Pennsylvania","17015-8806",558700,2010,42041,"Cumberland","Large Non-Sortable","21 Roadway Drive, Carlisle, Pennsylvania, 17015-8806","21 Roadway Drive, Carlisle, PA 17015, United States of America",40.226225,-77.1143716
"MDT1","2 Ames Drive Building #2","Carlisle","Pennsylvania","17015",700000,2015,42041,"Cumberland","Large Non-Sortable","2 Ames Drive Building #2, Carlisle, Pennsylvania, 17015","Carlisle Pike, Mechanicsburg, PA, United States of America",40.232143,-77.093622
"PHL6","675 Allen Rd","Carlisle","Pennsylvania","17015-7788",833300,2010,42041,"Cumberland","Large Non-Sortable","675 Allen Rd, Carlisle, Pennsylvania, 17015-7788","Allen Road, Carlisle, PA 17013, United States of America",40.1910846,-77.2405491
"PHL5","500 McCarthy Dr","Lewisberry","Pennsylvania","17339-8725",705000,2010,42133,"York","Large Non-Sortable","500 McCarthy Dr, Lewisberry, Pennsylvania, 17339-8725","Lewisberry, Pennsylvania, United States of America",40.13509,-76.85969
"ABE1/ABE2","705 Boulder Drive","Breinigsville","Pennsylvania","18031-1533",615000,2010,42077,"Lehigh","Large Sortable","705 Boulder Drive, Breinigsville, Pennsylvania, 18031-1533","Boulder Dr, Breinigsville, PA, United States of America",40.56696,-75.622261
"ABE3","650 Boulder Drive","Breinigsville","Pennsylvania","18031-1536",483200,2011,42077,"Lehigh","Soft Lines","650 Boulder Drive, Breinigsville, Pennsylvania, 18031-1536","Boulder Dr, Breinigsville, PA, United States of America",40.57069,-75.624225
"ABE4","1610 Van Buren Road Easton","Palmer Township","Pennsylvania","18045-7807",1106400,2016,42095,"Northampton","Large Sortable/Non-Sortable","1610 Van Buren Road Easton, Palmer Township, Pennsylvania, 18045-7807","Van Buren Rd, Easton, PA, United States of America",40.73758,-75.277309
"AVP2/AVP3/HPH9","298 1st Avenue Gouldsboro","Covington Township","Pennsylvania","18424-9492",1250000,2010,42069,"Lackawanna","Diaper.com Fulfillment Center that was owned by Quidsi Inc. which Amazon acquired in November . 2010. Currently a Non-Sortable facility.","298 1st Avenue Gouldsboro, Covington Township, Pennsylvania, 18424-9492","Covington Lake Dr, Gouldsboro, PA, United States of America",41.274936,-75.507077
"AVP9","45 Valley View Drive Lackawanna","Jessup","Pennsylvania","18434",1027700,2021,42069,"Lackawanna","Non-Sortable Fulfillment Center near Scranton. Role of Facility TBD","45 Valley View Drive Lackawanna, Jessup, Pennsylvania, 18434","45 Valley View Drive, Jessup, Lackawanna County, PA 18434, United States of America",41.4555668,-75.5550521
"AVP8","250 Enterprise Way","Pittston Township","Pennsylvania","18640-5000",399500,2017,42079,"Luzerne","Replaces AVP6 which was closed in July 2016 Supplemental Fulfillment Center (SFC). Part of the Kariba (KRB) Network","250 Enterprise Way, Pittston Township, Pennsylvania, 18640-5000","Pittston Ave, Pittston, PA, United States of America",41.301338,-75.784961
"PPA1","545 Oak Hill Road","Mountaintop","Pennsylvania","18707-2141",NA,2016,42079,"Luzerne","Amazon uses a portion of this space as a seasonal facility","545 Oak Hill Road, Mountaintop, Pennsylvania, 18707-2141","Oak Ln, Mountain Top, PA, United States of America",41.147058,-75.862435
"ABE5","2455 Boulevard of the Generals","Norristown","Pennsylvania","19403",110400,2017,42091,"Montgomery","Amazon's Woot! Apparel Manufacturing Plant to produce on demand up to 25 Million pieces of clcthing/year","2455 Boulevard of the Generals, Norristown, Pennsylvania, 19403","Generals Dr, Norristown, PA, United States of America",40.151353,-75.362252
"RDG1","3563 Mountain Rd Hamburg","Upper Bern Township","Pennsylvania","19526-7948",1008900,2020,42011,"Berks","Specialty Soft Lines","3563 Mountain Rd Hamburg, Upper Bern Township, Pennsylvania, 19526-7948","Mountain Rd, Hamburg, PA, United States of America",40.52368,-76.105852
"XUSG","9645 West Hills Court","Kutztown","Pennsylvania","19530-8644",413800,2014,42011,"Berks","Large Non-Sortable 3PL NFI Industries","9645 West Hills Court, Kutztown, Pennsylvania, 19530-8644","Halls Rd, Kutztown, PA, United States of America",40.494578,-75.801834
"TEN1","1002 Patriot Pkwy Muhlenberg Township","Reading","Pennsylvania","19605-2874",609000,2020,42011,"Berks","Role of Facility TBD.","1002 Patriot Pkwy Muhlenberg Township, Reading, Pennsylvania, 19605-2874","Patriot Pl, Reading, PA, United States of America",40.371438,-75.946186
"PHL7/PHL9","560 Merrimac Ave","Middletown","Delaware","19709-4652",1035000,2012,10003,"New Castle","PHL7 is Small Sortable PHL9 is Make on Demand Printing (MOD) 3.000 full time associates","560 Merrimac Ave, Middletown, Delaware, 19709-4652","Merrimac Avenue, Middletown, DE, United States of America",39.4499091,-75.7386405
"PHL1","1 Centerpoint Blvd","New Castle","Delaware","19720-4172",202000,1997,10003,"New Castle","Large Sortable Amazon’s 2nd DC in its network","1 Centerpoint Blvd, New Castle, Delaware, 19720-4172","Amazon PHL1, 1 Centerpoint Boulevard, New Castle, New Castle County, DE 19720, United States of America",39.6639211,-75.590196
"ILG1","780 S Dupont Parkway","New Castle","Delaware","19720",1000000,2021,10003,"New Castle","Specialty - Small and Light Products.","780 S Dupont Parkway, New Castle, Delaware, 19720","South Dupont Parkway, Wrangle Hill, New Castle County, DE 19733, United States of America",39.5721452,-75.6555539
"MTN1","1025 Boxwood Road Newport","Wilmington","Delaware","19804-2041",640000,2021,10003,"New Castle","Former GM plant demolished for a 3 8M Sq Ft Facility. 5-story building","1025 Boxwood Road Newport, Wilmington, Delaware, 19804-2041","Boxwood Rd, Wilmington, DE, United States of America",39.725358,-75.61305
"BWI1","45121 Global Plaza","Sterling","Virginia","20166",809000,2018,51107,"Loudoun","Legacy Sortable","45121 Global Plaza, Sterling, Virginia, 20166","45121 Global Plz, Sterling, VA, United States of America",38.986756,-77.439851
"","100 Powers Court","Sterling","Virginia","20166",511000,2021,51107,"Loudoun","Building used to supply structures and supplies for other facilities in the area","100 Powers Court, Sterling, Virginia, 20166","100 Powers Ct, Sterling, VA, United States of America",38.997403,-77.44148
"XUSP/HBA1","1100 Woodley Rd","Aberdeen","Maryland","21001-4042",656900,2018,24025,"Harford","Large Non-Sortable Operated by Kuehne + Nagel","1100 Woodley Rd, Aberdeen, Maryland, 21001-4042","Kuehne + Nagle, 1100 Woodley Road, Aberdeen, MD 21001, United States of America",39.4808723,-76.1828826
"SMD1","7200 Dorsey Run Road","Elkridge","Maryland","21075-6884",100000,2020,24027,"Howard","Mini Fulfillment Center/ Amazon Fresh / Delivery Station for Baltimore/Washington DC Same Day Delivery Service within 45 minutes Drive Time.","7200 Dorsey Run Road, Elkridge, Maryland, 21075-6884","7200 Dorsey Run Road, Elkridge, Howard County, MD 21075, United States of America",39.1714748,-76.7613042
"DCA6","6001 Bethlehem Blvd Sparrow’s Point","Edgemere","Maryland","21219-2504",979200,2020,24005,"Baltimore","Large Non-Sortable","6001 Bethlehem Blvd Sparrow’s Point, Edgemere, Maryland, 21219-2504","Edgemere Ave, Sparrows Point, MD, United States of America",39.232423,-76.455072
"DCA1","1700 Sparrows Point Blvd Sparrow’s Point","Dundalk","Maryland","21219",855000,2018,24005,"Baltimore","Small Sortable","1700 Sparrows Point Blvd Sparrow’s Point, Dundalk, Maryland, 21219","Sparrows Point Blvd, Sparrows Point, MD, United States of America",39.230944,-76.446646
"MTN6","1701 Finishing Mills Road Sparrow’s Point","Edgemere","Maryland","21219-1057",702200,2021,24005,"Baltimore","Role of Facility TBD","1701 Finishing Mills Road Sparrow’s Point, Edgemere, Maryland, 21219-1057","Edgemere Ave, Sparrows Point, MD, United States of America",39.23527,-76.45512
"BWI2","2010 Broening Highway","Baltimore","Maryland","21224-6027",101760,2015,24510,"Baltimore","Small Sortable","2010 Broening Highway, Baltimore, Maryland, 21224-6027","BWI2 Amazon Fulfillment Center, 2010 Broening Highway, Point Breeze, Baltimore, MD 21224, United States of America",39.2676575,-76.5490453
"MTN8","811 Wesel Boulevard Building 2","Hagerstown","Maryland","21740-8124",794900,2021,24043,"Washington","Role of Facility TBD","811 Wesel Boulevard Building 2, Hagerstown, Maryland, 21740-8124","Wesel Blvd, Hagerstown, MD, United States of America",39.638526,-77.741699
"HGR2/HBA3","1115 Wesel Boulevard Building 1","Hagerstown","Maryland","21740",1004200,2021,24043,"Washington","HGR2 is a Large Nonsortable FC HBA3 is a Heavy Bulky Delivery Station inside the building.","1115 Wesel Boulevard Building 1, Hagerstown, Maryland, 21740","1115 Wesel Boulevard, Hagerstown, MD 21740, United States of America",39.6369638,-77.746751
"MDT2/KRB5","600 Principio Parkway West Cecil","North East","Maryland","21901",114890,2017,24015,"Cecil","MDT2 is a Specialty FC: Primarily Apparel /Footwear. KRB5 is an Amazon Kariba FC (Amazon Basics line of products).","600 Principio Parkway West Cecil, North East, Maryland, 21901","Cecil Pkwy, North East, MD, United States of America",39.57232,-75.980198
"SDC1/HDC1","6885 Commercial Dr","Springfield","Virginia","22151-4202",110000,2019,51059,"Fairfax","SDC1 is a Mini Fulfillment Center/ Amazon Fresh / Delivery Station for Washington DC for 45 minute drive time. HDC1 is a Heavy/Bulky Delivery Station.","6885 Commercial Dr, Springfield, Virginia, 22151-4202","6885 Commercial Drive, Edsall Park, Springfield, VA 22151, United States of America",38.7999518,-77.1825113
"BWI4","165 Business Blvd Frederick","Clear Brook","Virginia","22624",1061000,2018,51069,"Frederick","Large Non-Sortable Ships larger packages that range from electronics and sports equipment to small kitchen appliances and toys 800 associates","165 Business Blvd Frederick, Clear Brook, Virginia, 22624","BWI4 - Amazon Fulfillment Center, 165 Business Boulevard, Rest, Frederick County, VA 22624, United States of America",39.2890546,-78.078111
"","5901 Richmond Henrico Turnpike","Richmond","Virginia","23227",650000,2022,51087,"Henrico","5-story Small Sortable FC. Project Speedway","5901 Richmond Henrico Turnpike, Richmond, Virginia, 23227","Richmond Henrico Turnpike, Richmond, VA 23222, United States of America",37.583155,-77.424611
"RIC3/HRC1","4949 Commerce Road","Richmond","Virginia","23234-2207",448300,2020,51041,"Chesterfield","New Non-Sortable Fulfillment Center in Richmond HRC1 is a heavy/bulky delivery station","4949 Commerce Road, Richmond, Virginia, 23234-2207","Commerce Road, Richmond, VA 23234, United States of America",37.4669751,-77.4280144
"","4701 Commerce Road","Richmond","Virginia","23234",461700,2021,51041,"Chesterfield","New Fulfillment Center / Delivery Station for Richmond VA","4701 Commerce Road, Richmond, Virginia, 23234","HRC1 - AMXL, 4701 Commerce Road, Warwick, Richmond, VA 23234, United States of America",37.4581341,-77.4289741
"ORF3","2020 Northgate Commerce Parkway","Suffolk","Virginia","23435-2142",860000,2021,51800,"Suffolk","New Fulfillment Center for Norfolk. 4.5 Stories High.","2020 Northgate Commerce Parkway, Suffolk, Virginia, 23435-2142","Amazon Fulfillment Center, 2020 Northgate Commerce Parkway, Shoulders Hill, Suffolk, VA 23435, United States of America",36.8088015,-76.4775421
"RIC1","5000 Commerce Way","Petersburg","Virginia","23803 6917",110000,2012,51053,"Dinwiddie","Large Non-Sortable Ships larger packages that range from electronics and sports equipment to small kitchen appliances and toys 1.000 associates","5000 Commerce Way, Petersburg, Virginia, 23803 6917","Amazon Fulfillment Center, 5000 Commerce Way, Addison, Petersburg, VA 23803, United States of America",37.1946962,-77.4930428
"RIC2","1901 Meadowville Technology Parkway","Chester","Virginia","23836-2841",120000,2012,51041,"Chesterfield","Small Sortable Ships auto parts, consumer electronics, office supplies, books, etc.","1901 Meadowville Technology Parkway, Chester, Virginia, 23836-2841","RIC2 Amazon Fulfillment Center, 1901 Meadowville Technology Parkway, Meadowville, Chester, VA 23836, United States of America",37.3520749,-77.3268832
"KRB2","7000 Hardware Dr","Prince George","Virginia","23875",798800,2020,51149,"Prince George","KRB2 is an Amazon Kariba FC (Amazon Basics line of products).","7000 Hardware Dr, Prince George, Virginia, 23875","Prince George, Virginia, United States of America",37.234733,-77.263465
"GSO1","1656 Old Greensboro Road","Kernersville","North Carolina","27284",1006000,2020,37067,"Forsyth","Large Non-Sortable petfood, paper towels, small appliances, kayaks...","1656 Old Greensboro Road, Kernersville, North Carolina, 27284","Old Greensboro Road, Kernersville, NC 27284, United States of America",36.1118349,-80.0527127
"RDU1","4851 Jones Sausage Road","Garner","North Carolina","27529-9438",640000,2020,37183,"Wake","Small Sortable. Project Axis.","4851 Jones Sausage Road, Garner, North Carolina, 27529-9438","Amazon Distribution Center, 4851 Jones Sausage Road, Garner, NC 27529, United States of America",35.7163612,-78.5875898
"SNC3","5 National Way Building 3","Durham","North Carolina","27703",187500,2021,37063,"Durham","Mini Fulfillment Center for Raleigh with Same Day Service Within 45 Minute Drive Time.","5 National Way Building 3, Durham, North Carolina, 27703","Thoreau Dr, Durham, NC, United States of America",35.930019,-78.837999
"CLT3","6500 Davidson Hwy","Concord","North Carolina","28027-7995",100000,2018,37025,"Cabarrus","Large Non-Sortable","6500 Davidson Hwy, Concord, North Carolina, 28027-7995","Amazon Kannapolis, 6500 Davidson Highway, Kannapolis, NC 28027, United States of America",35.4393754,-80.6856704
"SNC2","10622 Bryton Corporate Center Drive Buidling C","Huntersville","North Carolina","28078-0654",125900,2021,37119,"Mecklenburg","Mini Fulfillment Center for Charlotte with Same Day Service Within 45 Minute Drive Time","10622 Bryton Corporate Center Drive Buidling C, Huntersville, North Carolina, 28078-0654","Center Ln, Huntersville, NC, United States of America",35.397954,-80.853783
"CLT6/HCL2","12220 Carolina Logistics Drive Pineville","Charlotte","North Carolina","28134",1000000,2021,37119,"Mecklenburg","Large Non-Sortable Facility. Project Big Bertha","12220 Carolina Logistics Drive Pineville, Charlotte, North Carolina, 28134","Charlotte Dr, New London, NC, United States of America",35.477907,-80.084914
"CLT4","8000 Tuckaseegee Road","Charlotte","North Carolina","28214",855000,2019,37119,"Mecklenburg","Small Sortable Project Quattro May also contain Amazon Fresh.","8000 Tuckaseegee Road, Charlotte, North Carolina, 28214","8000 Tuckaseegee Road, Charlotte, NC 28214, United States of America",35.244659,-80.959427
"","Near All American Freeway & Santa Fe Drive","Fayetteville","North Carolina","28303",100000,2022,37051,"Cumberland","Large Non-Sortable Facility. Project Big Bronco. Not confirmed yet.","Near All American Freeway & Santa Fe Drive, Fayetteville, North Carolina, 28303","Fayetteville, North Carolina, United States of America",35.088535,-78.987265
"CAE3","222 Old Wire Rd","West Columbia","South Carolina","29172-2862",120000,2017,45063,"Lexington","Printing Make on Demand (MOD): Books. CDs. DVDs. Replaces the N. Charleston Facility CHS1 which was closed in Feb 2017. Project Oliver.","222 Old Wire Rd, West Columbia, South Carolina, 29172-2862","222 Old Wire Rd, West Columbia, SC, United States of America",33.895151,-81.038444
"CAE1","4400 12th Street Extension","West Columbia","South Carolina","29172-3300",1250000,2011,45063,"Lexington","Small Sortable","4400 12th Street Extension, West Columbia, South Carolina, 29172-3300","12th St, West Columbia, SC, United States of America",33.981638,-81.070121
"GSP1","402 John Dodd Rd","Spartanburg","South Carolina","29303-6312",1016100,2012,45083,"Spartanburg","Large Non-Sortable","402 John Dodd Rd, Spartanburg, South Carolina, 29303-6312","Amazon Fulfillment Center, 402 John Dodd Road, Wellford, Spartanburg County, SC 29303, United States of America",35.0082759,-82.0356262
"XUSU","845 Paragon Way","Rock Hill","South Carolina","29730",507500,2018,45091,"York","Large Non-Sortable. 3PL facility.","845 Paragon Way, Rock Hill, South Carolina, 29730","Rock Hill, South Carolina, United States of America",34.909109,-81.052437
"SGA1","4925 Avalon Ridge Parkway","Norcross","Georgia","30017-1571",138100,2021,13135,"Gwinnett","Mini Fulfillment Center/ Amazon Fresh / Delivery Station for NE Atlanta Same Day Delivery Service within 45 minutes Drive Time","4925 Avalon Ridge Parkway, Norcross, Georgia, 30017-1571","Norcross St, Roswell, GA, United States of America",34.026292,-84.344562
"ATL2","2255 W Park Place Blvd","Stone Mountain","Georgia","30087",650000,2020,13089,"DeKalb","Small Sortable - Project Rocket. 4-Story Building.","2255 W Park Place Blvd, Stone Mountain, Georgia, 30087","W Park Place Blvd, Stone Mountain, GA, United States of America",33.817101,-84.118172
"ATL8/HAT9","2201 Thornton Road","Lithia Springs","Georgia","30122-3895",733200,2015,13097,"Douglas","ATL8 is a Specialty Fulfillment Center HAT9 is a co located Heavy/Bulky Delivery Station","2201 Thornton Road, Lithia Springs, Georgia, 30122-3895","Thornton Road, Lithia Springs, GA 30122, United States of America",33.7934934,-84.6337895
"SGA2","1707 Blairs Bridge Rd","Lithia Springs","Georgia","30122-3120",166700,2021,13097,"Douglas","Mini Fulfillment Center/ Amazon Fresh / Delivery Station for Atlanta. Same Day Delivery Service within 45 minutes Drive Time.","1707 Blairs Bridge Rd, Lithia Springs, Georgia, 30122-3120","Blairs Bridge Rd, Lithia Springs, GA, United States of America",33.772503,-84.619552
"","5705 Campbellton-Fairburn Road Building A, Union City","Atlanta","Georgia","30213",1007400,2021,13121,"Fulton","Role of Facility TBD DAT9 is a Delivery Station on the same campus.","5705 Campbellton-Fairburn Road Building A, Union City, Atlanta, Georgia, 30213","City Cir, Peachtree City, GA, United States of America",33.393532,-84.586559
"CSG1","280 Bridgeport Boulevard Moreland","Newnan","Georgia","30259-2867",1002200,2020,13077,"Coweta","Large Non-Sortable","280 Bridgeport Boulevard Moreland, Newnan, Georgia, 30259-2867","Newnan St, LaGrange, GA, United States of America",33.049289,-85.005752
"MGE9","6400 Buffington Road Union City","Atlanta","Georgia","30291",NA,2021,13121,"Fulton","Role of Facility TBD","6400 Buffington Road Union City, Atlanta, Georgia, 30291","Buffington Rd, Union City, GA, United States of America",33.58095,-84.512136
"","7055 Campbellton Road","Atlanta","Georgia","30331",1128400,2020,13121,"Fulton","Role of Facility TBD DAT6 is a Delivery Station included in the building","7055 Campbellton Road, Atlanta, Georgia, 30331","Campbellton Road, Atlanta, GA 30331, United States of America",33.695119,-84.5236
