"county_fips","State","County_Name","Population_2010","RUCC_2013","Description","fips_code","name","lng","lat","lat_rounded","lng_rounded","code","address","city","state","zip","square_footage","year_opened","county_name","description","placenames","oc_formatted","oc_lat","oc_lng","lat_rounded_fc","lng_rounded_fc","group"
6065,"CA","Riverside County",2189641,1,"Metro - Counties in metro areas of 1 million population or more",6065,"Riverside",-115.9939021,33.74329781,33.745,-115.995,"XUSO","657 Nance street","Perris","California","92571",864000,2017,"Riverside","Large Non-Sortable Operated by 3PL NFI Industries","657 Nance street, Perris, California, 92571","Nance Street, Perris, CA 92551, United States of America",33.8554771,-117.2213015,33.855,-117.215,"treatment"
6067,"CA","Sacramento County",1418788,1,"Metro - Counties in metro areas of 1 million population or more",6067,"Sacramento",-121.3445212,38.44881725,38.455,-121.345,"SMF1","4900 W Elkhorn Blvd","Sacramento","California","95835-9505",855000,2017,"Sacramento","Small Sortable","4900 W Elkhorn Blvd, Sacramento, California, 95835-9505","4900 West Elkhorn Boulevard, Sacramento County, CA 95835, United States of America",38.6792565,-121.5728357,38.685,-121.575,"treatment"
6071,"CA","San Bernardino County",2035210,1,"Metro - Counties in metro areas of 1 million population or more",6071,"San Bernardino",-116.1783784,34.84157876,34.845,-116.175,"ONT9","2125 W San Bernardino Ave","Redlands","California","92374-5005",777600,2014,"San Bernardino","Non-Sortable Fulfillment Center Ships large items (e g televisions)","2125 W San Bernardino Ave, Redlands, California, 92374-5005","Amazon Fulfillment Center ONT9, 2125 West San Bernardino Avenue, Redlands, CA 92374, United States of America",34.0757489,-117.2284215,34.075,-117.225,"treatment"
6071,"CA","San Bernardino County",2035210,1,"Metro - Counties in metro areas of 1 million population or more",6071,"San Bernardino",-116.1783784,34.84157876,34.845,-116.175,"SNA4","2496 West Walnut Ave","Rialto","California","92376-3009",882200,2015,"San Bernardino","Large Non-Sortable 300 people","2496 West Walnut Ave, Rialto, California, 92376-3009","West Walnut Avenue, Rialto, CA 92376, United States of America",34.1286524,-117.3771771,34.135,-117.375,"treatment"
6071,"CA","San Bernardino County",2035210,1,"Metro - Counties in metro areas of 1 million population or more",6071,"San Bernardino",-116.1783784,34.84157876,34.845,-116.175,"TEN2","1590 Tamarind Ave","Rialto","California","92376-3008",543400,2016,"San Bernardino","Large Non-Sortable","1590 Tamarind Ave, Rialto, California, 92376-3008","Subaru, 1590 North Tamarind Avenue, Rialto, CA 92376, United States of America",34.1271468,-117.4249567,34.125,-117.425,"treatment"
6071,"CA","San Bernardino County",2035210,1,"Metro - Counties in metro areas of 1 million population or more",6071,"San Bernardino",-116.1783784,34.84157876,34.845,-116.175,"ONT2/ONT3/ONT4/ONT7","1910 & 2020 E Central Ave Building 3","San Bernardino","California","92408-0123",950000,2012,"San Bernardino","ONT2 is Small Sortable ONT3 is Make on Demand Printing (MOD) ONT7 is Pantry 2.000 associates","1910 & 2020 E Central Ave Building 3, San Bernardino, California, 92408-0123","E Central Ave, San Bernardino, CA, United States of America",34.085803,-117.251805,34.085,-117.245,"treatment"
6071,"CA","San Bernardino County",2035210,1,"Metro - Counties in metro areas of 1 million population or more",6071,"San Bernardino",-116.1783784,34.84157876,34.845,-116.175,"SNA7/SNA8/LGB5/XIX7/KRB1","555 East Orange Show Rd","San Bernardino","California","92408-2453",1102600,2016,"San Bernardino","SNA7 is Amazon Robotics Large Sortable SNA8 is Amazon Robotics Quick Deploy XIX7 is Inbound Cross Dock KRB1 is Amazon Kariba FC (Amazon Basics line of products)","555 East Orange Show Rd, San Bernardino, California, 92408-2453","Amazon, 555 East Orange Show Road, San Bernardino, CA 92408, United States of America",34.0783622,-117.2732931,34.085,-117.275,"treatment"
8001,"CO","Adams County",441603,1,"Metro - Counties in metro areas of 1 million population or more",8001,"Adams",-104.3375808,39.87357077,39.875,-104.335,"DEN2","22205 E 19th Avenue","Aurora","Colorado","80019",1000000,2017,"Adams","Large Non-Sortable 1.000 associates","22205 E 19th Avenue, Aurora, Colorado, 80019","Amazon DEN2, 22205 East 19th Avenue, Aurora, CO 80019, United States of America",39.7461445,-104.7259895,39.745,-104.725,"treatment"
9003,"CT","Hartford County",894014,1,"Metro - Counties in metro areas of 1 million population or more",9003,"Hartford",-72.73301048,41.80669859,41.805,-72.735,"BDL2","200 Old Iron Ore Road","Windsor","Connecticut","6095",1059200,2016,"Hartford","Small Sortable 3000 Associates: 4000 Robots Ships toys, clothes, electronics, books","200 Old Iron Ore Road, Windsor, Connecticut, 6095","200 Old Iron Ore Road, Windsor, CT 06095, United States of America",41.8790214,-72.7053692,41.885,-72.705,"treatment"
10003,"DE","New Castle County",538479,1,"Metro - Counties in metro areas of 1 million population or more",10003,"New Castle",-75.64791441,39.58150592,39.585,-75.655,"PHL7/PHL9","560 Merrimac Ave","Middletown","Delaware","19709-4652",1035000,2012,"New Castle","PHL7 is Small Sortable PHL9 is Make on Demand Printing (MOD) 3.000 full time associates","560 Merrimac Ave, Middletown, Delaware, 19709-4652","Merrimac Avenue, Middletown, DE, United States of America",39.4499091,-75.7386405,39.455,-75.735,"treatment"
12031,"FL","Duval County",864263,1,"Metro - Counties in metro areas of 1 million population or more",12031,"Duval",-81.67063889,30.33214142,30.335,-81.665,"JAX2","12900 Pecan Park Road","Jacksonville","Florida","32218-2432",875600,2017,"Duval","Small Sortable","12900 Pecan Park Road, Jacksonville, Florida, 32218-2432","Amazon Fulfillment Center JAX2, 12900 Pecan Park Road, Jacksonville, FL 32218, United States of America",30.4653236,-81.6802939,30.465,-81.685,"treatment"
12031,"FL","Duval County",864263,1,"Metro - Counties in metro areas of 1 million population or more",12031,"Duval",-81.67063889,30.33214142,30.335,-81.665,"JAX3","13333 103rd St","Jacksonville","Florida","32221-8686",101600,2017,"Duval","Large Non-Sortable","13333 103rd St, Jacksonville, Florida, 32221-8686","Amazon Fulfillment Center JAX3, 13333 103rd Street, Jacksonville, FL 32221, United States of America",30.2483719,-81.8639586,30.255,-81.865,"treatment"
12057,"FL","Hillsborough County",1229226,1,"Metro - Counties in metro areas of 1 million population or more",12057,"Hillsborough",-82.30867294,27.92948052,27.935,-82.305,"TPA1","3350 Laurel Ridge Ave","Ruskin","Florida","33570-5526",1017600,2014,"Hillsborough","Small Sortable 3.500 full time people Investment §200 Million. Facility expanded (doubled) in 2015 - 2016","3350 Laurel Ridge Ave, Ruskin, Florida, 33570-5526","TPA1 Amazon Fulfillment Center, 3350 Laurel Ridge Avenue, Hillsborough County, FL 33570, United States of America",27.7282687,-82.388158,27.735,-82.385,"treatment"
12095,"FL","Orange County",1145956,1,"Metro - Counties in metro areas of 1 million population or more",12095,"Orange",-81.32311592,28.51429239,28.515,-81.325,"SFL1/DMO1/UFL4","7469 Kingspointe Pkwy","Orlando","Florida","32819-8587",224200,2016,"Orange","SFL1 is a Mini Fulfillment Center / UFL4 is a Prime Warehouse. Same Day Service Within 45 Minute Drive Time.","7469 Kingspointe Pkwy, Orlando, Florida, 32819-8587","7469 Kingspointe Parkway, Orlando, FL 32819, United States of America",28.4606673,-81.4406319,28.465,-81.435,"treatment"
12095,"FL","Orange County",1145956,1,"Metro - Counties in metro areas of 1 million population or more",12095,"Orange",-81.32311592,28.51429239,28.515,-81.325,"XUSF","901 W Landstreet Rd Suite C","Orlando","Florida","32824-8028",180000,2014,"Orange","Large Non-Sortable Run by 3PL NFI","901 W Landstreet Rd Suite C, Orlando, Florida, 32824-8028","West Landstreet Road, Orange County, FL 32859, United States of America",28.4359547,-81.4090273,28.435,-81.405,"treatment"
13097,"GA","Douglas County",132403,1,"Metro - Counties in metro areas of 1 million population or more",13097,"Douglas",-84.76851394,33.7021135,33.705,-84.765,"ATL8/HAT9","2201 Thornton Road","Lithia Springs","Georgia","30122-3895",733200,2015,"Douglas","ATL8 is a Specialty Fulfillment Center HAT9 is a co located Heavy/Bulky Delivery Station","2201 Thornton Road, Lithia Springs, Georgia, 30122-3895","Thornton Road, Lithia Springs, GA 30122, United States of America",33.7934934,-84.6337895,33.795,-84.635,"treatment"
17043,"IL","DuPage County",916924,1,"Metro - Counties in metro areas of 1 million population or more",17043,"DuPage",-88.08563421,41.85173736,41.855,-88.085,"KRB6","4200 Ferry Rd","Aurora","Illinois","60502",402900,2017,"DuPage","Specialty FC KRB6 is an Amazon Kariba FC (Amazon Basics line of products).","4200 Ferry Rd, Aurora, Illinois, 60502","Ferry Road, Aurora, IL 60502, United States of America",41.8080128,-88.2380718,41.815,-88.235,"treatment"
17097,"IL","Lake County",703462,1,"Metro - Counties in metro areas of 1 million population or more",17097,"Lake",-88.00373142,42.32318039,42.325,-88.005,"MDW8","1750 Bridge Drive","Waukegan","Illinois","60085",626800,2017,"Lake","Large Non-Sortable","1750 Bridge Drive, Waukegan, Illinois, 60085","W Brooke Ave, Waukegan, IL, United States of America",42.390265,-87.873457,42.395,-87.875,"treatment"
17119,"IL","Madison County",269282,1,"Metro - Counties in metro areas of 1 million population or more",17119,"Madison",-89.90510951,38.83016798,38.835,-89.905,"STL6/STL7/HLU1","3931 Lakeview Corporate Dr","Edwardsville","Illinois","62025-2801",769500,2016,"Madison","STL6 is Amazon Robotics Small Sortable STL7 is a Amazon Robotics Quick Deploy (QD) Fulfillment Center which includes Print on Demand Book facility. Amazon Fresh facility. HLU1 is a Heavy/Bulky Delivery Station.","3931 Lakeview Corporate Dr, Edwardsville, Illinois, 62025-2801","Amazon STL6/STL7/HLU1, 3931 Lakeview Corporate Drive, Hartford, Madison County, IL 62048, United States of America",38.784143,-90.0770505,38.785,-90.075,"treatment"
17119,"IL","Madison County",269282,1,"Metro - Counties in metro areas of 1 million population or more",17119,"Madison",-89.90510951,38.83016798,38.835,-89.905,"STL4","3050 Gateway Commerce Center Drive South","Edwardsville","Illinois","62025-2815",717000,2016,"Madison","Large Non-Sortable","3050 Gateway Commerce Center Drive South, Edwardsville, Illinois, 62025-2815","Amazon STL4, 3050 Gateway Commerce Center Drive South, Edwardsville, IL 62025, United States of America",38.7718708,-90.0406468,38.775,-90.035,"treatment"
17197,"IL","Will County",677560,1,"Metro - Counties in metro areas of 1 million population or more",17197,"Will",-87.97829555,41.44485087,41.445,-87.975,"MDW4","201 Emerald Drive","Joliet","Illinois","60433-3281",700000,2016,"Will","","201 Emerald Drive, Joliet, Illinois, 60433-3281","Emerald Drive, Joliet, IL 60433, United States of America",41.4855423,-88.0694809,41.485,-88.065,"treatment"
17197,"IL","Will County",677560,1,"Metro - Counties in metro areas of 1 million population or more",17197,"Will",-87.97829555,41.44485087,41.445,-87.975,"MDW6","1125 W Remington Blvd","Romeoville","Illinois","60446-6529",767000,2016,"Will","Large Non-Sortable","1125 W Remington Blvd, Romeoville, Illinois, 60446-6529","Remington Blvd, Romeoville, IL, United States of America",41.667266,-88.119834,41.665,-88.115,"treatment"
17197,"IL","Will County",677560,1,"Metro - Counties in metro areas of 1 million population or more",17197,"Will",-87.97829555,41.44485087,41.445,-87.975,"MDW7","6605 W Monee Manhattan Road","Monee","Illinois","60449-9668",856600,2017,"Will","MDW7 is Small Sortable","6605 W Monee Manhattan Road, Monee, Illinois, 60449-9668","Amazon Fulfillment Center MDW7, 6605 West Monee Manhattan Road, Monee, Will County, IL 60449, United States of America",41.4241234,-87.7728317,41.425,-87.775,"treatment"
18011,"IN","Boone County",56640,1,"Metro - Counties in metro areas of 1 million population or more",18011,"Boone",-86.46866856,40.05117643,40.045,-86.465,"IND1","4255 Anson Blvd","Whitestown","Indiana","46075-4412",110000,2008,"Boone","Large & Small Sortable Expanded by 400,000 Sq. Ft. in February. 2011. 2,500 associates.","4255 Anson Blvd, Whitestown, Indiana, 46075-4412","Amazon.com Fulfillment Center (IND1), 4255 Anson Blvd, Whitestown, Boone County, IN 46075, United States of America",39.9796754,-86.3796545,39.975,-86.375,"treatment"
18011,"IN","Boone County",56640,1,"Metro - Counties in metro areas of 1 million population or more",18011,"Boone",-86.46866856,40.05117643,40.045,-86.465,"XUSE","5490 Industrial Court Suite 300","Whitestown","Indiana","46075",624000,2013,"Boone","Large Non-Sortable","5490 Industrial Court Suite 300, Whitestown, Indiana, 46075","Industrial Dr, Carmel, IN, United States of America",39.974713,-86.134988,39.975,-86.135,"treatment"
18019,"IN","Clark County",110232,1,"Metro - Counties in metro areas of 1 million population or more",18019,"Clark",-85.70765032,38.47743705,38.475,-85.705,"SDF8","900 Patrol Road","Jeffersonville","Indiana","47130-7761",1002000,2012,"Clark","Specialty Fulfillment Center for Apparel (95%); shoes, watches, and jewelry","900 Patrol Road, Jeffersonville, Indiana, 47130-7761","Amazon SDF8, 900 Patrol Road, Jeffersonville, IN 47130, United States of America",38.3787641,-85.6867886,38.385,-85.685,"treatment"
18063,"IN","Hendricks County",145448,1,"Metro - Counties in metro areas of 1 million population or more",18063,"Hendricks",-86.50994544,39.76986908,39.775,-86.505,"IND2/IND3","715 & 717 Airtech Parkway","Plainfield","Indiana","46168-7442",947300,2008,"Hendricks","IND2 is Large Non-Sortable IND3 is BlSS/Small Parts","715 & 717 Airtech Parkway, Plainfield, Indiana, 46168-7442","Plainfield, Indiana, United States of America",39.70421,-86.39944,39.705,-86.395,"treatment"
18063,"IN","Hendricks County",145448,1,"Metro - Counties in metro areas of 1 million population or more",18063,"Hendricks",-86.50994544,39.76986908,39.775,-86.505,"IND5","800 Perry Road","Plainfield","Indiana","46168-7637",925800,2011,"Hendricks","Large Non-Sortable Specialty Facility for HazMat merchandise","800 Perry Road, Plainfield, Indiana, 46168-7637","800 Perry Road, Plainfield, IN 46168, United States of America",39.6949913,-86.3557817,39.695,-86.355,"treatment"
18063,"IN","Hendricks County",145448,1,"Metro - Counties in metro areas of 1 million population or more",18063,"Hendricks",-86.50994544,39.76986908,39.775,-86.505,"IND4/IND8/UIN1","710 South Girls School Road","Indianapolis","Indiana","46231-1132",902900,2011,"Hendricks","IND4 is a Small Sortable mainly for shoes and VNA Soft Lines Fulfillment Center IND8 is a Returns Center","710 South Girls School Road, Indianapolis, Indiana, 46231-1132","710 South Girls School Road, Indianapolis, IN 46231, United States of America",39.7546832,-86.2890998,39.755,-86.285,"treatment"
18097,"IN","Marion County",903393,1,"Metro - Counties in metro areas of 1 million population or more",18097,"Marion",-86.13826325,39.78163624,39.785,-86.135,"IND7","9101 Orly Drive","Indianapolis","Indiana","46241-9605",695300,2016,"Marion","Supplemental Fulfillment Center set up inside of an existing Pepsi building near the IND airport. IND7 stows sortable case transshipped from IXD (cross dock) facilities, and then ships trans-out to nearby FC’s (INDI, MKE1. LEX1).","9101 Orly Drive, Indianapolis, Indiana, 46241-9605","Oriole Ct, Indianapolis, IN, United States of America",39.743622,-86.329746,39.745,-86.325,"treatment"
20091,"KS","Johnson County",544179,1,"Metro - Counties in metro areas of 1 million population or more",20091,"Johnson",-94.82256945,38.88370015,38.885,-94.825,"MKC4","19535 Waverly Rd Gardner","Edgerton","Kansas","66030",822100,2016,"Johnson","Large Non-Sortable Inland port facility. Employs 1.000 associates","19535 Waverly Rd Gardner, Edgerton, Kansas, 66030","Edgerton Rd, Gardner, KS, United States of America",38.840407,-95.018949,38.845,-95.015,"treatment"
20209,"KS","Wyandotte County",157505,1,"Metro - Counties in metro areas of 1 million population or more",20209,"Wyandotte",-94.76482929,39.11438143,39.115,-94.765,"MKC6","6925 Riverview Ave","Kansas City","Kansas","66102-3047",856000,2017,"Wyandotte","Small Sortable","6925 Riverview Ave, Kansas City, Kansas, 66102-3047","Amazon MKC6, 6925 Riverview Avenue, Kansas City, KS 66102, United States of America",39.0969897,-94.7391231,39.095,-94.735,"treatment"
21015,"KY","Boone County",118811,1,"Metro - Counties in metro areas of 1 million population or more",21015,"Boone",-84.72794553,38.96984373,38.975,-84.725,"CVG2","1600 Worldwide Blvd","Hebron","Kentucky","41048-8640",543000,2005,"Boone","Returns Center","1600 Worldwide Blvd, Hebron, Kentucky, 41048-8640","Amazon Fullfillment Center CVG2, 1600 Worldwide Boulevard, Hebron, Boone County, KY 41048, United States of America",39.0874404,-84.7258207,39.085,-84.725,"treatment"
21015,"KY","Boone County",118811,1,"Metro - Counties in metro areas of 1 million population or more",21015,"Boone",-84.72794553,38.96984373,38.975,-84.725,"IVSB/HCN1","3521 Point Pleasant Road Unit 2","Hebron","Kentucky","41048",264000,2017,"Boone","IVSB is Specialty Small and Light Products HCN1 is a Heavy/Bulky delivery station","3521 Point Pleasant Road Unit 2, Hebron, Kentucky, 41048","Amazon AUV1, 3521 Point Pleasant Road, Hebron, Boone County, KY 41048, United States of America",39.0571101,-84.6407739,39.055,-84.635,"treatment"
21015,"KY","Boone County",118811,1,"Metro - Counties in metro areas of 1 million population or more",21015,"Boone",-84.72794553,38.96984373,38.975,-84.725,"CVG1","1155 Worldwide Blvd Bldg, F Park W Inti","Hebron","Kentucky","41048-8640",484000,2005,"Boone","Specialty Fulfillment Center Apparel for Endless.com. Myhabit and Amazon Apparel","1155 Worldwide Blvd Bldg, F Park W Inti, Hebron, Kentucky, 41048-8640","1155 Worldwide Blvd, Hebron, KY, United States of America",39.084729,-84.724616,39.085,-84.725,"treatment"
21029,"KY","Bullitt County",74319,1,"Metro - Counties in metro areas of 1 million population or more",21029,"Bullitt",-85.69808753,37.97000785,37.975,-85.695,"SDF4","376 Amazoncom Blvd","Shepherdsville","Kentucky","40165-8556",823000,2006,"Bullitt","Specialty FC: Apparel /Footwear support Zappos.com","376 Amazoncom Blvd, Shepherdsville, Kentucky, 40165-8556","Shepherdsville, Kentucky, United States of America",37.959505,-85.704609,37.965,-85.705,"treatment"
21029,"KY","Bullitt County",74319,1,"Metro - Counties in metro areas of 1 million population or more",21029,"Bullitt",-85.69808753,37.97000785,37.975,-85.695,"SDF6","271 Omega Pkwy","Shepherdsville","Kentucky","40165-8505",118000,2012,"Bullitt","Specialty FC Apparel /Footwear support Zappos com","271 Omega Pkwy, Shepherdsville, Kentucky, 40165-8505","Omega Parkway, Shepherdsville, Bullitt County, KY 40165, United States of America",37.978105,-85.683374,37.975,-85.685,"treatment"
21029,"KY","Bullitt County",74319,1,"Metro - Counties in metro areas of 1 million population or more",21029,"Bullitt",-85.69808753,37.97000785,37.975,-85.695,"SDF9","100 W Thomas P Echols Lane St 3","Shepherdsville","Kentucky","40165-7594",600000,2013,"Bullitt","Returns Center Apparel/Footwear","100 W Thomas P Echols Lane St 3, Shepherdsville, Kentucky, 40165-7594","Thomas St, Radcliff, KY, United States of America",37.826172,-85.933695,37.825,-85.935,"treatment"
21111,"KY","Jefferson County",741096,1,"Metro - Counties in metro areas of 1 million population or more",21111,"Jefferson",-85.65772828,38.18834895,38.195,-85.655,"SDF2","4360 Robards Lane","Louisville","Kentucky","40218-4512",125000,2005,"Jefferson","Specialty FC: High Value watches, and jewelry","4360 Robards Lane, Louisville, Kentucky, 40218-4512","4360 Robards Lane, Watterson Park, Jefferson County, KY 40218, United States of America",38.1951343,-85.6927171,38.195,-85.695,"treatment"
21117,"KY","Kenton County",159720,1,"Metro - Counties in metro areas of 1 million population or more",21117,"Kenton",-84.53313887,38.93368118,38.935,-84.535,"IVSA","4620 Olympic Blvd","Erlanger","Kentucky","41018",109200,2015,"Kenton","Specialty Small and Light Products","4620 Olympic Blvd, Erlanger, Kentucky, 41018","4620 Olympic Boulevard, Erlanger, KY 41018, United States of America",39.0426606,-84.6185606,39.045,-84.615,"treatment"
24015,"MD","Cecil County",101108,1,"Metro - Counties in metro areas of 1 million population or more",24015,"Cecil",-75.94133759,39.57067423,39.575,-75.935,"MDT2/KRB5","600 Principio Parkway West Cecil","North East","Maryland","21901",114890,2017,"Cecil","MDT2 is a Specialty FC: Primarily Apparel /Footwear. KRB5 is an Amazon Kariba FC (Amazon Basics line of products).","600 Principio Parkway West Cecil, North East, Maryland, 21901","Cecil Pkwy, North East, MD, United States of America",39.57232,-75.980198,39.575,-75.975,"treatment"
24510,"MD","Baltimore city",620961,1,"Metro - Counties in metro areas of 1 million population or more",24510,"Baltimore",-76.61440436,39.30522045,39.305,-76.615,"BWI2","2010 Broening Highway","Baltimore","Maryland","21224-6027",101760,2015,"Baltimore","Small Sortable","2010 Broening Highway, Baltimore, Maryland, 21224-6027","BWI2 Amazon Fulfillment Center, 2010 Broening Highway, Point Breeze, Baltimore, MD 21224, United States of America",39.2676575,-76.5490453,39.275,-76.545,"treatment"
26163,"MI","Wayne County",1820584,1,"Metro - Counties in metro areas of 1 million population or more",26163,"Wayne",-83.28221321,42.28172038,42.285,-83.275,"DET1","39000 Amrhein Rd","Livonia","Michigan","48150",100900,2017,"Wayne","Large Non-Sortable Project Mercury","39000 Amrhein Rd, Livonia, Michigan, 48150","39000 Amrhein Road, Livonia, MI 48150, United States of America",42.3743432,-83.4288557,42.375,-83.425,"treatment"
27139,"MN","Scott County",129928,1,"Metro - Counties in metro areas of 1 million population or more",27139,"Scott",-93.53696693,44.64850008,44.655,-93.535,"MSP1","2601 4th Ave E","Shakopee","Minnesota","55379-1726",860000,2016,"Scott","Small Sortable $220 Million facility 2.500 associates","2601 4th Ave E, Shakopee, Minnesota, 55379-1726","Amazon Fullfillment Center MSP1, 2601 4th Avenue East, Shakopee, MN 55379, United States of America",44.8005994,-93.488655,44.805,-93.485,"treatment"
32003,"NV","Clark County",1951269,1,"Metro - Counties in metro areas of 1 million population or more",32003,"Clark",-115.0146087,36.21511541,36.215,-115.015,"LAS2","3837 Bay Lake Trail Suite 111","North Las Vegas","Nevada","89030-4428",283900,2008,"Clark","Amazon Pantry (FDFC) Return Center","3837 Bay Lake Trail Suite 111, North Las Vegas, Nevada, 89030-4428","3837 Bay Lake Trail, North Las Vegas, NV 89030, United States of America",36.2275416,-115.1032291,36.225,-115.105,"treatment"
32003,"NV","Clark County",1951269,1,"Metro - Counties in metro areas of 1 million population or more",32003,"Clark",-115.0146087,36.21511541,36.215,-115.015,"LAS6","4550 Nexus Way","North Las Vegas","Nevada","89081",813100,2017,"Clark","Large Non-Sortable","4550 Nexus Way, North Las Vegas, Nevada, 89081","East Nexus Way, North Las Vegas, NV 89165, United States of America",36.2618445,-115.0787875,36.265,-115.075,"treatment"
